Date,Account,TradeTime,Symbol,TradeCcy,Side,TradeQuantity,ProductType
2021-04-05,Account,2021-04-05 22:31:40.850,AUDUSD,AUD,B,224567419.9424684,SPOT
2021-04-05,Account,2021-04-05 22:40:09.342,AUDUSD,AUD,B,23588106.48787767,SPOT
2021-04-06,Account,2021-04-06 07:07:15.198,AUDUSD,AUD,B,121013775.9218924,SPOT
2021-04-06,Account,2021-04-06 07:27:35.401,AUDUSD,AUD,B,15708609.9172011,SPOT
2021-04-06,Account,2021-04-06 09:55:20.187,AUDUSD,AUD,B,53638156.53836355,SPOT
2021-04-06,Account,2021-04-06 10:29:58.319,AUDUSD,AUD,S,47059870.34249119,SPOT
2021-04-06,Account,2021-04-06 11:28:53.741,AUDUSD,AUD,S,113229559.7693883,SPOT
2021-04-06,Account,2021-04-06 11:50:50.097,AUDUSD,AUD,B,131053881.2947925,SPOT
2021-04-06,Account,2021-04-06 14:53:30.220,AUDUSD,AUD,S,107786984.8581031,SPOT
2021-04-06,Account,2021-04-06 16:12:31.254,AUDUSD,AUD,S,236632462.3813853,SPOT
2021-04-06,Account,2021-04-06 16:23:51.156,AUDUSD,AUD,B,177076699.3518919,SPOT
2021-04-06,Account,2021-04-06 18:21:54.983,AUDUSD,AUD,B,24176558.5844405,SPOT
2021-04-06,Account,2021-04-06 21:21:00.693,AUDUSD,AUD,B,54832600.6042771,SPOT
2021-04-06,Account,2021-04-06 21:50:08.078,AUDUSD,AUD,S,39099365.67069963,SPOT
2021-04-06,Account,2021-04-06 22:09:02.325,AUDUSD,AUD,B,40185428.88225056,SPOT
2021-04-06,Account,2021-04-06 22:49:34.235,AUDUSD,AUD,S,168846793.7288806,SPOT
2021-04-07,Account,2021-04-07 08:08:35.575,AUDUSD,AUD,S,203454646.0490674,SPOT
2021-04-07,Account,2021-04-07 08:38:09.223,AUDUSD,AUD,S,106504187.034443,SPOT
2021-04-07,Account,2021-04-07 10:44:46.786,AUDUSD,AUD,B,56814020.63346468,SPOT
2021-04-07,Account,2021-04-07 11:47:56.092,AUDUSD,AUD,S,117422130.7039261,SPOT
2021-04-07,Account,2021-04-07 12:08:46.879,AUDUSD,AUD,B,128169207.6008767,SPOT
2021-04-07,Account,2021-04-07 12:55:18.516,AUDUSD,AUD,S,21014646.36623859,SPOT
2021-04-07,Account,2021-04-07 14:15:15.260,AUDUSD,AUD,B,91660254.22746316,SPOT
2021-04-07,Account,2021-04-07 15:39:58.350,AUDUSD,AUD,B,78716842.21317992,SPOT
2021-04-07,Account,2021-04-07 16:21:08.183,AUDUSD,AUD,B,24296557.13727698,SPOT
2021-04-07,Account,2021-04-07 19:59:40.182,AUDUSD,AUD,B,185010441.4334055,SPOT
2021-04-07,Account,2021-04-07 20:01:41.085,AUDUSD,AUD,S,15380828.69490609,SPOT
2021-04-08,Account,2021-04-08 07:39:57.330,AUDUSD,AUD,B,23718387.19118387,SPOT
2021-04-08,Account,2021-04-08 07:44:34.252,AUDUSD,AUD,S,104742751.3054572,SPOT
2021-04-08,Account,2021-04-08 08:36:11.152,AUDUSD,AUD,S,48772455.38518764,SPOT
2021-04-08,Account,2021-04-08 09:54:28.410,AUDUSD,AUD,S,51369142.1947442,SPOT
2021-04-08,Account,2021-04-08 10:00:03.493,AUDUSD,AUD,S,45426211.47120371,SPOT
2021-04-08,Account,2021-04-08 10:11:16.530,AUDUSD,AUD,B,172789638.3497864,SPOT
2021-04-08,Account,2021-04-08 11:43:29.252,AUDUSD,AUD,S,77240009.00052488,SPOT
2021-04-08,Account,2021-04-08 12:34:25.570,AUDUSD,AUD,S,45813699.2121581,SPOT
2021-04-08,Account,2021-04-08 14:03:58.278,AUDUSD,AUD,B,20039357.86429793,SPOT
2021-04-08,Account,2021-04-08 15:08:45.369,AUDUSD,AUD,B,162138550.7925879,SPOT
2021-04-08,Account,2021-04-08 17:41:57.641,AUDUSD,AUD,B,21519133.80715996,SPOT
2021-04-08,Account,2021-04-08 18:03:48.459,AUDUSD,AUD,S,100524110.5216555,SPOT
2021-04-08,Account,2021-04-08 19:51:42.410,AUDUSD,AUD,S,23418394.68805119,SPOT
2021-04-09,Account,2021-04-09 07:49:50.625,AUDUSD,AUD,S,84335540.94517604,SPOT
2021-04-09,Account,2021-04-09 07:49:55.668,AUDUSD,AUD,B,115261288.988404,SPOT
2021-04-09,Account,2021-04-09 08:05:12.346,AUDUSD,AUD,B,18410908.32836926,SPOT
2021-04-09,Account,2021-04-09 08:05:22.965,AUDUSD,AUD,B,116505317.9953247,SPOT
2021-04-09,Account,2021-04-09 08:49:21.590,AUDUSD,AUD,B,120735512.6505718,SPOT
2021-04-09,Account,2021-04-09 11:54:52.300,AUDUSD,AUD,S,40927802.27656476,SPOT
2021-04-09,Account,2021-04-09 13:36:44.598,AUDUSD,AUD,B,24740161.39283776,SPOT
2021-04-09,Account,2021-04-09 14:26:38.794,AUDUSD,AUD,B,143350853.9339527,SPOT
2021-04-09,Account,2021-04-09 14:35:45.157,AUDUSD,AUD,S,77585794.93965954,SPOT
2021-04-09,Account,2021-04-09 17:13:37.063,AUDUSD,AUD,B,61857919.06318627,SPOT
2021-04-09,Account,2021-04-09 18:11:44.465,AUDUSD,AUD,B,39527645.68384737,SPOT
2021-04-09,Account,2021-04-09 20:59:59.803,AUDUSD,AUD,S,112632944.1089183,SPOT
2021-04-12,Account,2021-04-12 08:14:25.648,AUDUSD,AUD,B,76773258.0541633,SPOT
2021-04-12,Account,2021-04-12 08:16:15.199,AUDUSD,AUD,S,93007327.83740386,SPOT
2021-04-12,Account,2021-04-12 08:18:06.172,AUDUSD,AUD,S,24594946.59211487,SPOT
2021-04-12,Account,2021-04-12 12:01:49.088,AUDUSD,AUD,S,150891385.5941501,SPOT
2021-04-12,Account,2021-04-12 14:20:18.468,AUDUSD,AUD,S,60318463.49942498,SPOT
2021-04-12,Account,2021-04-12 15:31:45.149,AUDUSD,AUD,B,16884224.73846003,SPOT
2021-04-12,Account,2021-04-12 15:42:10.350,AUDUSD,AUD,S,38712879.74179722,SPOT
2021-04-12,Account,2021-04-12 16:21:30.724,AUDUSD,AUD,B,141533192.9340027,SPOT
2021-04-12,Account,2021-04-12 16:53:49.886,AUDUSD,AUD,S,22353949.65391606,SPOT
2021-04-12,Account,2021-04-12 19:40:35.593,AUDUSD,AUD,B,51461905.14205955,SPOT
2021-04-12,Account,2021-04-12 20:12:04.003,AUDUSD,AUD,S,20543565.78737497,SPOT
2021-04-12,Account,2021-04-12 20:14:45.043,AUDUSD,AUD,S,82348995.97009644,SPOT
2021-04-12,Account,2021-04-12 22:00:41.721,AUDUSD,AUD,B,112242163.4965576,SPOT
2021-04-13,Account,2021-04-13 07:34:20.523,AUDUSD,AUD,S,21170572.09368795,SPOT
2021-04-13,Account,2021-04-13 07:55:02.866,AUDUSD,AUD,B,43110706.59314282,SPOT
2021-04-13,Account,2021-04-13 08:10:04.041,AUDUSD,AUD,S,166285055.8524951,SPOT
2021-04-13,Account,2021-04-13 08:52:45.655,AUDUSD,AUD,B,17250015.06507397,SPOT
2021-04-13,Account,2021-04-13 12:54:25.858,AUDUSD,AUD,S,227840127.7726516,SPOT
2021-04-13,Account,2021-04-13 13:06:23.277,AUDUSD,AUD,B,108553054.3816276,SPOT
2021-04-13,Account,2021-04-13 14:36:56.536,AUDUSD,AUD,B,50611491.25685915,SPOT
2021-04-13,Account,2021-04-13 16:41:05.136,AUDUSD,AUD,S,103511587.4954499,SPOT
2021-04-13,Account,2021-04-13 20:19:27.144,AUDUSD,AUD,S,57351145.89915611,SPOT
2021-04-13,Account,2021-04-13 21:26:42.256,AUDUSD,AUD,S,39263343.94491278,SPOT
2021-04-13,Account,2021-04-13 21:42:29.043,AUDUSD,AUD,B,111408598.7908766,SPOT
2021-04-13,Account,2021-04-13 21:43:21.909,AUDUSD,AUD,B,102978566.4519295,SPOT
2021-04-13,Account,2021-04-13 22:38:02.233,AUDUSD,AUD,S,124922892.5735224,SPOT
2021-04-14,Account,2021-04-14 07:12:16.476,AUDUSD,AUD,B,49899343.65148656,SPOT
2021-04-14,Account,2021-04-14 07:25:54.677,AUDUSD,AUD,S,107250783.8951424,SPOT
2021-04-14,Account,2021-04-14 08:44:46.979,AUDUSD,AUD,S,97136263.98006454,SPOT
2021-04-14,Account,2021-04-14 11:39:53.283,AUDUSD,AUD,S,86215085.14042944,SPOT
2021-04-14,Account,2021-04-14 11:56:46.205,AUDUSD,AUD,S,186568721.7679806,SPOT
2021-04-14,Account,2021-04-14 12:47:17.917,AUDUSD,AUD,S,244734464.189969,SPOT
2021-04-14,Account,2021-04-14 15:35:15.241,AUDUSD,AUD,B,58512188.98314983,SPOT
2021-04-14,Account,2021-04-14 16:20:25.752,AUDUSD,AUD,B,191028492.4320877,SPOT
2021-04-14,Account,2021-04-14 20:41:50.640,AUDUSD,AUD,B,38833792.95002669,SPOT
2021-04-14,Account,2021-04-14 21:16:17.091,AUDUSD,AUD,S,18326500.76132268,SPOT
2021-04-15,Account,2021-04-15 07:12:03.749,AUDUSD,AUD,B,188412136.6310865,SPOT
2021-04-15,Account,2021-04-15 08:20:21.494,AUDUSD,AUD,B,46454837.20814809,SPOT
2021-04-15,Account,2021-04-15 09:46:22.709,AUDUSD,AUD,B,183831402.2112172,SPOT
2021-04-15,Account,2021-04-15 11:26:40.277,AUDUSD,AUD,B,54761974.93262589,SPOT
2021-04-15,Account,2021-04-15 15:26:10.444,AUDUSD,AUD,S,111196368.1178167,SPOT
2021-04-15,Account,2021-04-15 15:58:52.949,AUDUSD,AUD,B,119166426.68657,SPOT
2021-04-15,Account,2021-04-15 16:18:17.685,AUDUSD,AUD,S,45088395.24933137,SPOT
2021-04-15,Account,2021-04-15 16:26:06.278,AUDUSD,AUD,B,41764153.17342617,SPOT
2021-04-15,Account,2021-04-15 16:31:31.658,AUDUSD,AUD,S,110265848.2617699,SPOT
2021-04-15,Account,2021-04-15 16:37:21.237,AUDUSD,AUD,S,52273737.67411336,SPOT
2021-04-15,Account,2021-04-15 18:18:59.163,AUDUSD,AUD,S,24468104.69729826,SPOT
2021-04-15,Account,2021-04-15 20:53:02.906,AUDUSD,AUD,B,59329270.96728235,SPOT
2021-04-15,Account,2021-04-15 22:30:25.053,AUDUSD,AUD,B,55420901.2829233,SPOT
2021-04-16,Account,2021-04-16 09:05:18.435,AUDUSD,AUD,B,89685847.28427231,SPOT
2021-04-16,Account,2021-04-16 09:19:08.133,AUDUSD,AUD,B,151109757.43155,SPOT
2021-04-16,Account,2021-04-16 12:21:34.947,AUDUSD,AUD,S,17806875.21910295,SPOT
2021-04-16,Account,2021-04-16 12:32:50.024,AUDUSD,AUD,B,61246507.42276572,SPOT
2021-04-16,Account,2021-04-16 13:02:20.649,AUDUSD,AUD,S,20185938.68706375,SPOT
2021-04-16,Account,2021-04-16 13:09:37.617,AUDUSD,AUD,B,80612979.07261178,SPOT
2021-04-16,Account,2021-04-16 16:46:52.430,AUDUSD,AUD,S,94612042.93183982,SPOT
2021-04-16,Account,2021-04-16 20:42:33.664,AUDUSD,AUD,B,90484177.57730931,SPOT
2021-04-16,Account,2021-04-16 20:59:59.953,AUDUSD,AUD,S,54371437.33724952,SPOT
2021-04-16,Account,2021-04-16 20:59:59.953,AUDUSD,AUD,S,22214904.19935435,SPOT
2021-04-19,Account,2021-04-19 07:26:45.427,AUDUSD,AUD,S,43873427.88395472,SPOT
2021-04-19,Account,2021-04-19 08:43:57.069,AUDUSD,AUD,B,23556730.28621823,SPOT
2021-04-19,Account,2021-04-19 11:06:06.799,AUDUSD,AUD,S,180134614.7898585,SPOT
2021-04-19,Account,2021-04-19 11:08:43.116,AUDUSD,AUD,B,243650486.3435403,SPOT
2021-04-19,Account,2021-04-19 12:50:12.922,AUDUSD,AUD,S,93837087.74112165,SPOT
2021-04-19,Account,2021-04-19 13:21:09.826,AUDUSD,AUD,B,42773364.16416802,SPOT
2021-04-19,Account,2021-04-19 13:57:09.049,AUDUSD,AUD,S,57421730.74395396,SPOT
2021-04-19,Account,2021-04-19 14:56:28.171,AUDUSD,AUD,B,86337560.72958931,SPOT
2021-04-19,Account,2021-04-19 17:21:54.397,AUDUSD,AUD,S,15078119.13499609,SPOT
2021-04-19,Account,2021-04-19 18:08:08.585,AUDUSD,AUD,S,47103209.28134024,SPOT
2021-04-19,Account,2021-04-19 19:16:17.122,AUDUSD,AUD,B,110624814.3594712,SPOT
2021-04-19,Account,2021-04-19 20:25:08.564,AUDUSD,AUD,S,95176891.71480015,SPOT
2021-04-19,Account,2021-04-19 20:51:56.656,AUDUSD,AUD,S,107399135.3157908,SPOT
2021-04-19,Account,2021-04-19 21:57:52.196,AUDUSD,AUD,B,94525612.04088852,SPOT
2021-04-20,Account,2021-04-20 07:25:29.371,AUDUSD,AUD,B,18120271.78704739,SPOT
2021-04-20,Account,2021-04-20 07:55:55.547,AUDUSD,AUD,S,158531950.7285021,SPOT
2021-04-20,Account,2021-04-20 08:10:57.550,AUDUSD,AUD,S,77885826.08336583,SPOT
2021-04-20,Account,2021-04-20 08:56:07.639,AUDUSD,AUD,S,171048480.6855675,SPOT
2021-04-20,Account,2021-04-20 10:16:16.739,AUDUSD,AUD,S,49992900.96457116,SPOT
2021-04-20,Account,2021-04-20 11:18:23.576,AUDUSD,AUD,S,43060533.09119307,SPOT
2021-04-20,Account,2021-04-20 15:34:38.802,AUDUSD,AUD,S,106758655.9918709,SPOT
2021-04-20,Account,2021-04-20 19:03:07.844,AUDUSD,AUD,S,97125729.23162952,SPOT
2021-04-20,Account,2021-04-20 19:32:25.624,AUDUSD,AUD,B,45532961.44586056,SPOT
2021-04-20,Account,2021-04-20 20:26:33.254,AUDUSD,AUD,B,102453859.0107113,SPOT
2021-04-20,Account,2021-04-20 22:31:24.806,AUDUSD,AUD,S,116692153.7835151,SPOT
2021-04-21,Account,2021-04-21 08:41:52.689,AUDUSD,AUD,B,88769959.1461569,SPOT
2021-04-21,Account,2021-04-21 09:44:38.723,AUDUSD,AUD,B,37765341.90401435,SPOT
2021-04-21,Account,2021-04-21 10:33:44.376,AUDUSD,AUD,S,85318000.41673705,SPOT
2021-04-21,Account,2021-04-21 12:00:22.924,AUDUSD,AUD,B,242377122.1656352,SPOT
2021-04-21,Account,2021-04-21 14:14:21.834,AUDUSD,AUD,S,118096990.2663492,SPOT
2021-04-21,Account,2021-04-21 14:30:07.816,AUDUSD,AUD,B,50615901.46506205,SPOT
2021-04-21,Account,2021-04-21 16:32:55.768,AUDUSD,AUD,S,19471326.02101192,SPOT
2021-04-21,Account,2021-04-21 17:07:02.902,AUDUSD,AUD,S,84096492.14008823,SPOT
2021-04-21,Account,2021-04-21 17:08:37.344,AUDUSD,AUD,S,98916838.77212927,SPOT
2021-04-21,Account,2021-04-21 18:00:43.285,AUDUSD,AUD,B,20775411.89035401,SPOT
2021-04-22,Account,2021-04-22 08:27:04.408,AUDUSD,AUD,S,113225105.9752889,SPOT
2021-04-22,Account,2021-04-22 08:36:40.088,AUDUSD,AUD,B,101905714.4760154,SPOT
2021-04-22,Account,2021-04-22 09:49:41.437,AUDUSD,AUD,B,15685817.08241254,SPOT
2021-04-22,Account,2021-04-22 11:20:57.721,AUDUSD,AUD,B,46967773.07544835,SPOT
2021-04-22,Account,2021-04-22 13:57:01.345,AUDUSD,AUD,B,19905101.47763416,SPOT
2021-04-22,Account,2021-04-22 14:37:57.666,AUDUSD,AUD,S,117104220.1924138,SPOT
2021-04-22,Account,2021-04-22 16:20:51.203,AUDUSD,AUD,B,23192115.91500789,SPOT
2021-04-22,Account,2021-04-22 16:45:33.388,AUDUSD,AUD,B,144627825.6014921,SPOT
2021-04-22,Account,2021-04-22 17:36:36.564,AUDUSD,AUD,S,100120622.5133501,SPOT
2021-04-22,Account,2021-04-22 18:06:06.546,AUDUSD,AUD,B,59244663.61175291,SPOT
2021-04-22,Account,2021-04-22 22:20:52.500,AUDUSD,AUD,S,130160109.5474325,SPOT
2021-04-23,Account,2021-04-23 08:03:40.374,AUDUSD,AUD,S,23934941.46643206,SPOT
2021-04-23,Account,2021-04-23 11:21:28.150,AUDUSD,AUD,B,15648823.28966632,SPOT
2021-04-23,Account,2021-04-23 14:02:58.817,AUDUSD,AUD,B,39161914.72089849,SPOT
2021-04-23,Account,2021-04-23 14:19:07.128,AUDUSD,AUD,B,88283616.92139879,SPOT
2021-04-23,Account,2021-04-23 14:33:26.553,AUDUSD,AUD,B,53010883.08333419,SPOT
2021-04-23,Account,2021-04-23 16:45:26.831,AUDUSD,AUD,S,102210485.5859652,SPOT
2021-04-23,Account,2021-04-23 16:55:16.238,AUDUSD,AUD,S,155397405.2891135,SPOT
2021-04-23,Account,2021-04-23 17:09:10.484,AUDUSD,AUD,S,203638664.1208082,SPOT
2021-04-23,Account,2021-04-23 20:16:15.296,AUDUSD,AUD,B,46250760.9219756,SPOT
2021-04-23,Account,2021-04-23 20:59:59.903,AUDUSD,AUD,B,130674336.8273601,SPOT
2021-04-26,Account,2021-04-26 08:56:51.970,AUDUSD,AUD,S,200429200.4974559,SPOT
2021-04-26,Account,2021-04-26 12:23:14.962,AUDUSD,AUD,B,96319706.48188144,SPOT
2021-04-26,Account,2021-04-26 15:44:36.466,AUDUSD,AUD,B,102779629.4423752,SPOT
2021-04-26,Account,2021-04-26 15:48:30.780,AUDUSD,AUD,S,113237224.0303084,SPOT
2021-04-26,Account,2021-04-26 17:23:43.812,AUDUSD,AUD,S,124305072.6829097,SPOT
2021-04-26,Account,2021-04-26 18:26:46.948,AUDUSD,AUD,B,50857805.55964448,SPOT
2021-04-26,Account,2021-04-26 20:50:28.254,AUDUSD,AUD,S,82897607.97051713,SPOT
2021-04-26,Account,2021-04-26 21:24:16.606,AUDUSD,AUD,B,91150003.39224935,SPOT
2021-04-26,Account,2021-04-26 21:31:01.084,AUDUSD,AUD,B,150389381.4282492,SPOT
2021-04-26,Account,2021-04-26 22:56:25.290,AUDUSD,AUD,B,38206583.82028341,SPOT
2021-04-26,Account,2021-04-26 22:59:02.421,AUDUSD,AUD,B,110971578.9789334,SPOT
2021-04-27,Account,2021-04-27 09:30:50.065,AUDUSD,AUD,B,99744462.86214516,SPOT
2021-04-27,Account,2021-04-27 09:49:53.478,AUDUSD,AUD,B,173343326.2968901,SPOT
2021-04-27,Account,2021-04-27 11:13:09.375,AUDUSD,AUD,S,56779763.57983425,SPOT
2021-04-27,Account,2021-04-27 11:18:08.222,AUDUSD,AUD,B,126107130.3219069,SPOT
2021-04-27,Account,2021-04-27 13:42:30.485,AUDUSD,AUD,B,158240284.5961042,SPOT
2021-04-27,Account,2021-04-27 14:38:45.581,AUDUSD,AUD,B,40949987.3756431,SPOT
2021-04-27,Account,2021-04-27 15:53:19.343,AUDUSD,AUD,B,201998042.804189,SPOT
2021-04-27,Account,2021-04-27 16:44:20.773,AUDUSD,AUD,B,124379146.983847,SPOT
2021-04-27,Account,2021-04-27 17:55:56.370,AUDUSD,AUD,S,40353677.42180824,SPOT
2021-04-27,Account,2021-04-27 19:29:15.161,AUDUSD,AUD,B,154136041.1560163,SPOT
2021-04-27,Account,2021-04-27 19:33:31.500,AUDUSD,AUD,B,22812954.78809625,SPOT
2021-04-27,Account,2021-04-27 20:50:37.585,AUDUSD,AUD,B,84138603.57832164,SPOT
2021-04-28,Account,2021-04-28 07:48:37.729,AUDUSD,AUD,B,18525859.63206366,SPOT
2021-04-28,Account,2021-04-28 07:55:14.297,AUDUSD,AUD,B,24559242.71373078,SPOT
2021-04-28,Account,2021-04-28 09:00:28.171,AUDUSD,AUD,S,100385968.7363729,SPOT
2021-04-28,Account,2021-04-28 09:20:35.392,AUDUSD,AUD,B,120541445.0960234,SPOT
2021-04-28,Account,2021-04-28 09:32:14.973,AUDUSD,AUD,B,162997900.8052033,SPOT
2021-04-28,Account,2021-04-28 11:59:40.037,AUDUSD,AUD,S,50554482.84838349,SPOT
2021-04-28,Account,2021-04-28 13:01:37.344,AUDUSD,AUD,S,20202717.31074899,SPOT
2021-04-28,Account,2021-04-28 13:53:57.264,AUDUSD,AUD,B,24222437.7929233,SPOT
2021-04-28,Account,2021-04-28 15:11:25.737,AUDUSD,AUD,S,212881316.6869804,SPOT
2021-04-28,Account,2021-04-28 15:52:27.773,AUDUSD,AUD,S,21066851.47853568,SPOT
2021-04-28,Account,2021-04-28 16:07:39.151,AUDUSD,AUD,S,49825112.25389317,SPOT
2021-04-28,Account,2021-04-28 16:13:41.240,AUDUSD,AUD,B,181449509.1035497,SPOT
2021-04-28,Account,2021-04-28 16:31:11.046,AUDUSD,AUD,S,118495189.9689622,SPOT
2021-04-28,Account,2021-04-28 22:52:10.519,AUDUSD,AUD,B,62086536.49664484,SPOT
2021-04-29,Account,2021-04-29 07:10:00.145,AUDUSD,AUD,S,39732536.79578193,SPOT
2021-04-29,Account,2021-04-29 07:43:41.097,AUDUSD,AUD,S,125767987.5183385,SPOT
2021-04-29,Account,2021-04-29 08:49:59.275,AUDUSD,AUD,S,109343206.1141357,SPOT
2021-04-29,Account,2021-04-29 10:55:18.275,AUDUSD,AUD,B,157124321.378069,SPOT
2021-04-29,Account,2021-04-29 11:23:04.364,AUDUSD,AUD,B,192348159.4771147,SPOT
2021-04-29,Account,2021-04-29 11:29:40.052,AUDUSD,AUD,S,59081038.82102296,SPOT
2021-04-29,Account,2021-04-29 14:03:43.063,AUDUSD,AUD,B,16911072.58200645,SPOT
2021-04-29,Account,2021-04-29 15:11:18.445,AUDUSD,AUD,S,135192525.4391972,SPOT
2021-04-29,Account,2021-04-29 17:53:13.833,AUDUSD,AUD,S,21897954.60319147,SPOT
2021-04-29,Account,2021-04-29 18:23:00.842,AUDUSD,AUD,S,185512370.854849,SPOT
2021-04-29,Account,2021-04-29 22:46:44.567,AUDUSD,AUD,S,20436377.25291774,SPOT
2021-04-30,Account,2021-04-30 07:34:04.203,AUDUSD,AUD,B,77294085.19808203,SPOT
2021-04-30,Account,2021-04-30 08:27:01.462,AUDUSD,AUD,B,42229302.29152553,SPOT
2021-04-30,Account,2021-04-30 10:06:55.558,AUDUSD,AUD,B,170052844.0065682,SPOT
2021-04-30,Account,2021-04-30 11:10:58.849,AUDUSD,AUD,B,185502349.6609647,SPOT
2021-04-30,Account,2021-04-30 11:57:42.833,AUDUSD,AUD,S,84535369.80086938,SPOT
2021-04-30,Account,2021-04-30 12:26:49.242,AUDUSD,AUD,S,54950872.13930674,SPOT
2021-04-30,Account,2021-04-30 13:19:21.526,AUDUSD,AUD,S,101279259.0772733,SPOT
2021-04-30,Account,2021-04-30 19:45:19.788,AUDUSD,AUD,B,45725003.62992287,SPOT
2021-04-30,Account,2021-04-30 19:49:00.900,AUDUSD,AUD,B,24034345.60634196,SPOT
2021-04-30,Account,2021-04-30 20:13:25.126,AUDUSD,AUD,B,62073394.81334202,SPOT
2021-04-30,Account,2021-04-30 20:59:59.905,AUDUSD,AUD,B,17792957.2481662,SPOT
2021-04-30,Account,2021-04-30 20:59:59.905,AUDUSD,AUD,B,136241197.8829187,SPOT
2021-05-03,Account,2021-05-03 09:50:35.939,AUDUSD,AUD,S,122071115.0206625,SPOT
2021-05-03,Account,2021-05-03 15:30:04.961,AUDUSD,AUD,B,19452835.85693687,SPOT
2021-05-03,Account,2021-05-03 15:59:18.696,AUDUSD,AUD,B,16606645.30005306,SPOT
2021-05-03,Account,2021-05-03 17:26:57.480,AUDUSD,AUD,S,109148804.1332923,SPOT
2021-05-03,Account,2021-05-03 17:38:43.221,AUDUSD,AUD,S,22397773.7291716,SPOT
2021-05-03,Account,2021-05-03 18:13:46.908,AUDUSD,AUD,B,126510486.5538888,SPOT
2021-05-03,Account,2021-05-03 19:06:22.010,AUDUSD,AUD,B,82805820.20524889,SPOT
2021-05-03,Account,2021-05-03 20:35:25.604,AUDUSD,AUD,S,145103096.7815313,SPOT
2021-05-03,Account,2021-05-03 21:51:11.192,AUDUSD,AUD,S,57371608.37743431,SPOT
2021-05-03,Account,2021-05-03 22:22:16.402,AUDUSD,AUD,S,19555995.88342011,SPOT
2021-05-04,Account,2021-05-04 08:50:47.018,AUDUSD,AUD,S,115405923.5821478,SPOT
2021-05-04,Account,2021-05-04 08:52:02.466,AUDUSD,AUD,B,53912354.88350503,SPOT
2021-05-04,Account,2021-05-04 09:22:34.129,AUDUSD,AUD,B,61343616.1656864,SPOT
2021-05-04,Account,2021-05-04 09:28:26.485,AUDUSD,AUD,S,75627064.33236599,SPOT
2021-05-04,Account,2021-05-04 10:26:53.585,AUDUSD,AUD,B,54147673.88720065,SPOT
2021-05-04,Account,2021-05-04 12:05:10.645,AUDUSD,AUD,B,144442149.6998984,SPOT
2021-05-04,Account,2021-05-04 12:43:27.836,AUDUSD,AUD,S,114853702.9512227,SPOT
2021-05-04,Account,2021-05-04 14:10:28.210,AUDUSD,AUD,S,38358122.83796258,SPOT
2021-05-04,Account,2021-05-04 16:24:53.737,AUDUSD,AUD,S,109174937.219359,SPOT
2021-05-04,Account,2021-05-04 17:18:11.635,AUDUSD,AUD,S,117399567.400571,SPOT
2021-05-04,Account,2021-05-04 17:40:01.057,AUDUSD,AUD,B,17356096.11030668,SPOT
2021-05-04,Account,2021-05-04 18:22:35.172,AUDUSD,AUD,S,171590724.2381945,SPOT
2021-05-04,Account,2021-05-04 19:06:19.268,AUDUSD,AUD,S,52864041.02807865,SPOT
2021-05-04,Account,2021-05-04 20:29:18.152,AUDUSD,AUD,S,91839614.16129023,SPOT
2021-05-05,Account,2021-05-05 08:28:12.803,AUDUSD,AUD,B,111334271.3331804,SPOT
