Name,Description
AllInNetPrice,Net effective overall rate at which ParentOrderID was executed. It is AllInPrice adjusted for algo provider fees. It is calculated by Tradefeedr from NetPrices of child orders in the same way as AllInPrice. Should be above AllInPrice for Side=B and below AllInPrice for Side=S with the difference being execution fees
ExecutionScore,"TradeQuantityUSD-Weighed-Average Scores of Individual Child Orders. Execution Scores  of individual child fills are calculated as rank-percentile of Price against the distribution of mid-price during algo execution.  It is the number between 0 and 100. For example, buy at the low of range would get a rank of 100 and buy at the high the price range would get a rank of 0 (reverse for sell order)."
ReversalScore,"TradeQuantityUSD-Weighed-Average Reversal Scores of Individual Child Orders. Reversal Scores of individual child fills are calculated as rank percentiles of Price against the distribution of mid-price post algo execution.  It is a number between 0 and 100. For example, buy at the low of range would get a rank of 100 and buy at the high the price range would get a rank of 0 (reverse for sell order)."
RiskTransferCostReportedPM,"Risk transfer cost as reported by AlgoVendor. If AlgoVendor does not submit this information, None is returned.  Expressed in $/m (100 x basis point)"
RiskTransferCostStaticPM,Risk trader cost as submitted by Tradefeedr client. Can be missing/None if it was not provided by the Tradefeedr client. Expressed in $/m (100 x basis point)
RiskTransferCostVolBumpPM,RiskTransferCostStaticPM adjusted for volatility level to reflect current market trading conditions. Expressed in $/m (100 x basis point)
RiskTransferCostModelPM,"Tradefeedr estimated risk transfer cost, average level per symbol per trading day.  Expressed in $/m (100xbasis point). Mainly used to calibrate user provided RiskTransferCostStaticPM"
RiskTransferCostTradefeedrPM,Tradefeedr estimated risk transfer cost  for ParentOrderID.  Expressed in $/m (100xbasis point).
AssumedRisk,Cumulative volatility of the market during ParentOrderID. Based on Tradefeedr intraday volatility model. Volatility is estimated for each minute and integrated over the duration of the algo. Expressed in basis points.
ArrivalMidPerfTradeBPS,Percentage Difference between ArrivalPrice (arrival mid) and AllInPrice. Adjusted for Side. Positive number means out-performance of mid price (buying below the ArrivalPrice and selling above). Expressed in basis points.
ArrivalMidPerfRemainBPS,Market move during algo execution adjusted by Side. When it is negative the market moved in the direction of trading making subsequent purchases more costly (e.g. market moving up when algo was buying). This is used to adjust algo for un-executed amounts.   Expressed in basis points.
ArrivalMidPerfBPS,"Total algo performance to ArrivalPrice (arrival mid). Positive number means out-performance (buying below mid, selling below mid). Weighted average of ArrivalMidPerfTradeBPS and ArrivalMidPerfRemainBPS with weights being proportional to TradeQuantity and RemainQuantity.  Expressed in basis points. "
TWAPMidPerfBPS,Percentage difference between AllInPrice and TWAPPrice. Adjusted for Side. Positive number means out-performance of TWAPPrice (buying below the TWAPPrice and selling above TWAPPrice). Expressed in basis points
ArrivalMidPerfNetBPS,"Net total algo performance to ArrivalPrice (arrival mid).  Positive in out-performance (buying below mid, selling below mid). When aggregated it is weighted average of ArrivalMidPerfTradeNetBPS and ArrivalMidPerfRemainNetBPS with weights being proportional to TradeQuantity and RemainQuantity.  Expressed in basis points "
ArrivalMidPerfTradeNetBPS,Performance To Arrival Mid. Percentage Difference between ArrivalPrice and AllInNetPrice. Adjusted for Side. Positive number means out-performance of mid price (buying below the ArrivalPrice and selling above. Expressed in basis points.
ArrivalMidPerfRemainNetBPS,Market move during algo execution adjusted to the Side. When it is negative the market moved in the direction of trading making subsequent purchases more costly (e.g. market moving up when algo was buying). This is used to adjust algo for un-executed amounts.   
TWAPMidPerfNetBPS,Percentage difference between AllInNetPrice and TWAPPrice. Adjusted for Side. Positive number means outperformance of TWAPPrice (buying below the TWAPPrice and selling above TWAPPrice). Expressed in basis points
SlippageToArrivalMidTradePM,"SlippageToArrivalMidTradePM. Percentage difference between ArrivalPrice and AllInPrice. Adjusted for Side. Positive number means underperformance of mid price (buying above the ArrivalPrice and selling below. Expressed in $/m (100 x Basis Point or 10,000 percent)"
SlippageToArrivalMidRemainPM,SlippageToArrivalMidRemainPM. Market move during algo execution adjusted to the Side. This is used to adjust algo for un-executed amounts.   
SlippageToArrivalMidPM,"SlippageToArrivalMid (Positive in underperformance, negative is out-performance). Total slippage to arrival mid. Weighted average of SlippageToArrivalMidTradePM and SlippageToArrivalMidRemainPM with wights proportional to TradeQuantity and RemainQuantity.  Expressed in $/m (100 x Basis Point or 10,000 percent)"
SlippageToTWAPMidPM,"Percentage Difference between Algo Effective Execution Price (AllInPrice) and TWAPPrice. Adjusted for Side. Positive number means underperformance of TWAPPrice (buying above the TWAPPrice and selling below TWAPPrice). Expressed in $/m (100 x Basis Point or 10,000 percent)"
SlippageToArrivalMidNetPM,"SlippageToArrivalMid (Positive in underperformance, negative is out-performance). Total slippage to arrival mid. Weighted average of SlippageToArrivalMidTradePM and SlippageToArrivalMidRemainPM with weights being proportional to TradeQuantity and RemainQuantity.  Expressed in $/m (100 x Basis Point)"
SlippageToArrivalMidTradeNetPM,SlippageToArrivalMidTradePM. Percentage Difference between ArrivalPrice and AllInPrice. Adjusted for Side. Positive number means underperformance of mid price (buying above the ArrivalPrice and selling below. Expressed in $/m (100 x Basis Point)
SlippageToArrivalMidRemainNetPM,SlippageToArrivalMidRemainPM. Market move during algo execution adjusted to the Side. This is used to adjust algo for non-executed amounts.   
SlippageToTWAPMidNetPM,Percentage Difference between AllInNetPrice and TWAPPrice. Adjusted for Side. Positive number means net under-performance of TWAPPrice (buying above the TWAPPrice and selling below TWAPPrice). Expressed in $/m (100 x Basis Point)
SubmissionTime,Time (GMT) when the order arrives to the execution desk.
SubmissionPrice,The Tradefeedr mid-price of the Symbol at the time immediately preceding the SubmissionTime. This is used for SubmissionMidPerfBPS.
FirstFillTime,Time (GMT) when the the first order is executed.
FirstFillPrice,The Tradefeedr mid-price of the Symbol at the time immediately preceding the FirstFillTime. This is used for FirstFillMidPerfBPS.
SubmissionMidPerfBPS,"Total algo performance to SubmissionPrice. Positive number means out-performance (buying below mid, selling below mid). Weighted average of SubmissionMidPerfTradeBPS and SubmissionMidPerfRemainBPS with weights being proportional to TradeQuantity and RemainQuantity. Expressed in basis points."
SubmissionMidPerfTradeBPS,Percentage Difference between SubmissionPrice  and AllInPrice. Adjusted for Side. Positive number means out-performance of mid price (buying below the SubmissionPrice  and selling above). Expressed in basis points.
SubmissionMidPerfRemainBPS,Market move during algo execution adjusted by Side. When it is negative the market moved in the direction of trading making subsequent purchases more costly (e.g. market moving up when algo was buying). This is used to adjust algo for un-executed amounts. Expressed in basis points.
SubmissionMidPerfNetBPS,Net of fees version of SubmissionMidPerfBPS
SubmissionMidPerfTradeNetBPS,Net of fees version of SubmissionMidPerfTradeBPS
SubmissionMidPerfRemainNetBPS,Net of fees (client price) version of SubmissionMidPerfRemainBPS
FirstFillMidPerfBPS,"Total algo performance to FirstFillPrice. Positive number means out-performance (buying below mid, selling below mid). Weighted average of FirstFillMidPerfTradeBPS and FirstFillMidPerfRemainBPS with weights being proportional to TradeQuantity and RemainQuantity. Expressed in basis points."
FirstFillMidPerfTradeBPS,Percentage Difference between FirstFillPrice and AllInPrice. Adjusted for Side. Positive number means out-performance of mid price (buying below the SubmissionPriceÂ  and selling above). Expressed in basis points.
FirstFillMidPerfRemainBPS,Market move during algo execution adjusted by Side. When it is negative the market moved in the direction of trading making subsequent purchases more costly (e.g. market moving up when algo was buying). This is used to adjust algo for un-executed amounts.Expressed in basis points.
FirstFillMidPerfNetBPS,Net of fees version of FirstFillMidPerfBPS
FirstFillMidPerfTradeNetBPS,Net of fees version of FirstFillMidPerfTradeBPS
FirstFillMidPerfRemainNetBPS,Net of fees version of FirstFillMidPerfRemainBPS
